no;provid;countyid;zupu;pczupu;anyzupu;avggrain;nograin;urban;dis_bj;dis_pc;rice;minority;edu;lnpop;year;mortality;lnpczupu;uniqueid;G
1;13;5;1;0.042996328;1;176.5823212;31.81304932;5;80.02620498;75.001053;0;0;2.54756093;12.54254532;1954;17.09;0.042097656;13-Mei;1
2;13;5;1;0.042996328;1;176.5823212;31.81304932;5;80.02620498;75.001053;0;0;2.54756093;12.54254532;1955;17.13;0.042097656;13-Mei;1
3;13;5;1;0.042996328;1;176.5823212;31.81304932;5;80.02620498;75.001053;0;0;2.54756093;12.54254532;1956;17.09;0.042097656;13-Mei;1
4;13;5;1;0.042996328;1;176.5823212;31.81304932;5;80.02620498;75.001053;0;0;2.54756093;12.54254532;1957;17.02;0.042097656;13-Mei;1
5;13;5;1;0.042996328;1;176.5823212;31.81304932;5;80.02620498;75.001053;0;0;2.54756093;12.54254532;1958;16.94;0.042097656;13-Mei;1
6;13;5;1;0.042996328;1;176.5823212;31.81304932;5;80.02620498;75.001053;0;0;2.54756093;12.54254532;1959;17.08;0.042097656;13-Mei;1
7;13;5;1;0.042996328;1;176.5823212;31.81304932;5;80.02620498;75.001053;0;0;2.54756093;12.54254532;1960;17.01;0.042097656;13-Mei;1
8;13;5;1;0.042996328;1;176.5823212;31.81304932;5;80.02620498;75.001053;0;0;2.54756093;12.54254532;1961;10.42;0.042097656;13-Mei;1
9;13;5;1;0.042996328;1;176.5823212;31.81304932;5;80.02620498;75.001053;0;0;2.54756093;12.54254532;1962;6.88;0.042097656;13-Mei;1
10;13;5;1;0.042996328;1;176.5823212;31.81304932;5;80.02620498;75.001053;0;0;2.54756093;12.54254532;1963;7.43;0.042097656;13-Mei;1
11;13;5;1;0.042996328;1;176.5823212;31.81304932;5;80.02620498;75.001053;0;0;2.54756093;12.54254532;1964;8.89;0.042097656;13-Mei;1
12;13;5;1;0.042996328;1;176.5823212;31.81304932;5;80.02620498;75.001053;0;0;2.54756093;12.54254532;1965;7.23;0.042097656;13-Mei;1
13;13;5;1;0.042996328;1;176.5823212;31.81304932;5;80.02620498;75.001053;0;0;2.54756093;12.54254532;1966;7.34;0.042097656;13-Mei;1
14;13;8;0;0;0;311.4454346;28.46889496;4.09;173.2687193;192.6883916;0;0;2.630409241;12.43718433;1954;14.38;0;13-Agust;0
15;13;8;0;0;0;311.4454346;28.46889496;4.09;173.2687193;192.6883916;0;0;2.630409241;12.43718433;1955;10.24;0;13-Agust;0
16;13;8;0;0;0;311.4454346;28.46889496;4.09;173.2687193;192.6883916;0;0;2.630409241;12.43718433;1956;13.6;0;13-Agust;0
17;13;8;0;0;0;311.4454346;28.46889496;4.09;173.2687193;192.6883916;0;0;2.630409241;12.43718433;1957;10.96;0;13-Agust;0
18;13;8;0;0;0;311.4454346;28.46889496;4.09;173.2687193;192.6883916;0;0;2.630409241;12.43718433;1958;11.04;0;13-Agust;0
19;13;8;0;0;0;311.4454346;28.46889496;4.09;173.2687193;192.6883916;0;0;2.630409241;12.43718433;1959;11.29;0;13-Agust;0
20;13;8;0;0;0;311.4454346;28.46889496;4.09;173.2687193;192.6883916;0;0;2.630409241;12.43718433;1960;14.36;0;13-Agust;0
21;13;8;0;0;0;311.4454346;28.46889496;4.09;173.2687193;192.6883916;0;0;2.630409241;12.43718433;1961;12.59;0;13-Agust;0
22;13;8;0;0;0;311.4454346;28.46889496;4.09;173.2687193;192.6883916;0;0;2.630409241;12.43718433;1962;8.99;0;13-Agust;0
23;13;8;0;0;0;311.4454346;28.46889496;4.09;173.2687193;192.6883916;0;0;2.630409241;12.43718433;1963;10.78;0;13-Agust;0
24;13;8;0;0;0;311.4454346;28.46889496;4.09;173.2687193;192.6883916;0;0;2.630409241;12.43718433;1964;8.1;0;13-Agust;0
25;13;8;0;0;0;311.4454346;28.46889496;4.09;173.2687193;192.6883916;0;0;2.630409241;12.43718433;1965;8.71;0;13-Agust;0
26;13;8;0;0;0;311.4454346;28.46889496;4.09;173.2687193;192.6883916;0;0;2.630409241;12.43718433;1966;8.89;0;13-Agust;0
27;61;11;0;0;0;185.9707336;13.99117279;10.02;1007.712647;209.0808963;0;0;2.083050966;13.09051514;1954;11.28;0;61-11;0
28;61;11;0;0;0;185.9707336;13.99117279;10.02;1007.712647;209.0808963;0;0;2.083050966;13.09051514;1955;11.3;0;61-11;0
29;61;11;0;0;0;185.9707336;13.99117279;10.02;1007.712647;209.0808963;0;0;2.083050966;13.09051514;1956;10.73;0;61-11;0
30;61;11;0;0;0;185.9707336;13.99117279;10.02;1007.712647;209.0808963;0;0;2.083050966;13.09051514;1957;10.22;0;61-11;0
31;61;11;0;0;0;185.9707336;13.99117279;10.02;1007.712647;209.0808963;0;0;2.083050966;13.09051514;1958;10.12;0;61-11;0
32;61;11;0;0;0;185.9707336;13.99117279;10.02;1007.712647;209.0808963;0;0;2.083050966;13.09051514;1959;17.65;0;61-11;0
33;61;11;0;0;0;185.9707336;13.99117279;10.02;1007.712647;209.0808963;0;0;2.083050966;13.09051514;1960;24.47;0;61-11;0
34;61;11;0;0;0;185.9707336;13.99117279;10.02;1007.712647;209.0808963;0;0;2.083050966;13.09051514;1961;7.78;0;61-11;0
35;61;11;0;0;0;185.9707336;13.99117279;10.02;1007.712647;209.0808963;0;0;2.083050966;13.09051514;1962;8.15;0;61-11;0
36;61;11;0;0;0;185.9707336;13.99117279;10.02;1007.712647;209.0808963;0;0;2.083050966;13.09051514;1963;10.13;0;61-11;0
37;61;11;0;0;0;185.9707336;13.99117279;10.02;1007.712647;209.0808963;0;0;2.083050966;13.09051514;1964;15.91;0;61-11;0
38;61;11;0;0;0;185.9707336;13.99117279;10.02;1007.712647;209.0808963;0;0;2.083050966;13.09051514;1965;14.24;0;61-11;0
39;61;11;0;0;0;185.9707336;13.99117279;10.02;1007.712647;209.0808963;0;0;2.083050966;13.09051514;1966;15.19;0;61-11;0
40;52;12;0;0;0;303.0122681;16.88519287;7.41;1911.771724;209.2765063;1;1;1.80029583;12.10226631;1954;12.4;0;52-12;0
41;52;12;0;0;0;303.0122681;16.88519287;7.41;1911.771724;209.2765063;1;1;1.80029583;12.10226631;1955;14.47;0;52-12;0
42;52;12;0;0;0;303.0122681;16.88519287;7.41;1911.771724;209.2765063;1;1;1.80029583;12.10226631;1956;7.26;0;52-12;0
43;52;12;0;0;0;303.0122681;16.88519287;7.41;1911.771724;209.2765063;1;1;1.80029583;12.10226631;1957;9.75;0;52-12;0
44;52;12;0;0;0;303.0122681;16.88519287;7.41;1911.771724;209.2765063;1;1;1.80029583;12.10226631;1958;8.94;0;52-12;0
45;52;12;0;0;0;303.0122681;16.88519287;7.41;1911.771724;209.2765063;1;1;1.80029583;12.10226631;1959;10.73;0;52-12;0
46;52;12;0;0;0;303.0122681;16.88519287;7.41;1911.771724;209.2765063;1;1;1.80029583;12.10226631;1960;13.74;0;52-12;0
47;52;12;0;0;0;303.0122681;16.88519287;7.41;1911.771724;209.2765063;1;1;1.80029583;12.10226631;1961;18.9;0;52-12;0
